"lon","lat","cell_ID","MeanPrecip","DryPrecip","WetPrecip","SeasonalPrecip","Elevation","NDVI","MeanTemp","MaxTemp","MinTemp","DiurnalTemp","biome","bioregion","veg_type"
20.375,-33.375,426,250,43,82,27.260274887085,985,0.41100001335144,15.1416664123535,28.3999996185303,2.79999995231628,13.3000001907349,"Fynbos","Western Fynbos-Renosterveld Bioregion","Matjiesfontein Shale Fynbos"
20.625,-33.375,427,239,44,75,22.3740501403809,920,0.221599996089935,15.8583335876465,29.3999996185303,3,13.75,"Fynbos","Western Fynbos-Renosterveld Bioregion","Matjiesfontein Quartzite Fynbos"
20.875,-33.375,428,231,49,71,16.5968952178955,740,0.179700002074242,17.3999996185303,31.1000003814697,4.19999980926514,14.0833330154419,"Succulent Karoo","Rainshadow Valley Karoo Bioregion","Western Little Karoo"
21.125,-33.375,429,267,59,76,15.6829814910889,717,0.404700011014938,17.095832824707,30.2000007629395,4,13.7583332061768,"Succulent Karoo","Rainshadow Valley Karoo Bioregion","Western Little Karoo"
21.375,-33.375,430,375,77,115,16.9900779724121,1512,0.294099986553192,11.3041667938232,23.3999996185303,-0.400000005960464,12.5416669845581,"Fynbos","Western Fynbos-Renosterveld Bioregion","North Swartberg Sandstone Fynbos"
21.625,-33.375,431,243,50,75,19.1548385620117,351,0.583199977874756,16.8500003814697,28.5,4.90000009536743,12.7333335876465,"Albany Thicket","Albany Thicket","Oudtshoorn Karroid Thicket"
21.875,-33.375,432,421,78,132,22.1538352966309,1583,0.460099995136261,10.8083333969116,22.3999996185303,-0.400000005960464,12.1999998092651,"Fynbos","Western Fynbos-Renosterveld Bioregion","South Swartberg Sandstone Fynbos"
22.125,-33.375,433,293,54,94,21.1182346343994,798,0.488599985837936,14.7916669845581,27.3999996185303,3,13.7833337783813,"Fynbos","Western Fynbos-Renosterveld Bioregion","Kango Limestone Renosterveld"
22.375,-33.375,434,408,70,129,24.3962345123291,1640,0.189999997615814,11.720832824707,23.3999996185303,0.600000023841858,12.3249998092651,"Fynbos","Western Fynbos-Renosterveld Bioregion","South Swartberg Sandstone Fynbos"
22.625,-33.375,435,343,64,111,22.0229873657227,901,0.389999985694885,14.6666669845581,27,2.70000004768372,13.0666666030884,"Fynbos","Western Fynbos-Renosterveld Bioregion","Swartberg Shale Renosterveld"
